date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.03,8.39,15.72,2026-03-04T14:59:35Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-1,4.47,4.34,1.44,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,1-0,1.46,4.28,4.3,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,0-2,9.17,6.18,1.14,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,2-0,1.15,6.06,8.77,2026-03-04T17:50:44Z
2026-03-04,Premier League,Newcastle,Manchester Utd,3-0,1.03,8.4,16.11,2026-03-04T17:50:44Z
2026-03-05,Premier League,Tottenham,Crystal Palace,0-1,4.25,3.98,1.51,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,1-0,1.34,4.38,5.66,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,0-2,9.11,5.8,1.15,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,2-0,1.09,6.63,12.42,2026-03-05T15:06:24Z
2026-03-05,Premier League,Tottenham,Crystal Palace,3-0,1.01,8.63,21.34,2026-03-05T15:06:24Z
2026-03-06,Championship,Preston,Oxford Utd,0-1,3.69,3.57,1.67,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,0-2,8.12,5.21,1.2,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,1-0,1.24,4.62,7.91,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,2-0,1.05,7.26,18.01,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,3-0,1.01,8.51,27.66,2026-03-03T21:14:25Z
2026-03-06,Championship,Preston,Oxford Utd,0-1,3.93,3.61,1.62,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,1-0,1.26,4.49,7.44,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,0-2,8.77,5.37,1.18,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,2-0,1.05,7.1,17.12,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,3-0,1.01,8.49,26.84,2026-03-06T08:59:19Z
2026-03-06,Championship,Preston,Oxford Utd,0-1,3.96,3.59,1.62,2026-03-06T14:59:16Z
2026-03-06,Championship,Preston,Oxford Utd,1-0,1.26,4.47,7.5,2026-03-06T14:59:16Z
2026-03-06,Championship,Preston,Oxford Utd,0-2,8.88,5.37,1.17,2026-03-06T14:59:16Z
2026-03-06,Championship,Preston,Oxford Utd,2-0,1.05,7.1,17.35,2026-03-06T14:59:16Z
2026-03-06,Championship,Preston,Oxford Utd,3-0,1.01,8.5,27.26,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,0-1,4.35,3.77,1.46,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,0-1,4.46,3.79,1.45,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,0-2,9.25,5.46,1.13,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,0-2,9.52,5.52,1.12,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,1-0,1.33,4.05,5.44,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,1-0,1.35,4,5.27,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,2-0,1.08,5.9,11.3,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,2-0,1.08,5.97,11.65,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,3-0,1.01,7.3,18.42,2026-03-03T21:14:25Z
2026-03-06,League 2,Cheltenham,Barrow,3-0,1.01,7.32,18.76,2026-03-04T13:26:24Z
2026-03-06,League 2,Cheltenham,Barrow,0-1,4.22,3.73,1.48,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,1-0,1.32,4.08,5.6,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,0-2,8.98,5.39,1.13,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,2-0,1.07,6.02,11.98,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,3-0,1.01,7.3,19.08,2026-03-05T15:06:24Z
2026-03-06,League 2,Cheltenham,Barrow,0-1,4.09,3.68,1.51,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,1-0,1.31,4.11,5.76,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,0-2,8.7,5.3,1.14,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,2-0,1.07,6.08,12.36,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,3-0,1.01,7.31,19.48,2026-03-06T08:59:19Z
2026-03-06,League 2,Cheltenham,Barrow,0-1,4.01,3.64,1.53,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,1-0,1.29,4.15,6.02,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,0-2,8.55,5.24,1.15,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,2-0,1.06,6.15,12.92,2026-03-06T14:59:16Z
2026-03-06,League 2,Cheltenham,Barrow,3-0,1.01,7.3,20.1,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,0-1,4.86,3.74,1.48,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,0-1,5.02,3.77,1.46,2026-03-04T08:56:38Z
2026-03-07,Championship,Blackburn,Portsmouth,0-2,11.41,5.89,1.12,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,0-2,11.83,5.98,1.11,2026-03-04T08:56:38Z
2026-03-07,Championship,Blackburn,Portsmouth,1-0,1.34,4.08,6.25,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,1-0,1.36,4.02,6.02,2026-03-04T08:56:38Z
2026-03-07,Championship,Blackburn,Portsmouth,2-0,1.07,6.59,14.85,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,2-0,1.08,6.48,14.3,2026-03-04T08:56:38Z
2026-03-07,Championship,Blackburn,Portsmouth,3-0,1.01,8.44,24.69,2026-03-04T08:56:38Z
2026-03-07,Championship,Blackburn,Portsmouth,3-0,1.01,8.44,25.18,2026-03-03T21:14:25Z
2026-03-07,Championship,Blackburn,Portsmouth,0-1,5.16,3.8,1.44,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,1-0,1.38,3.96,5.82,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,0-2,12.2,6.05,1.11,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,2-0,1.09,6.38,13.83,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,3-0,1.01,8.4,24.17,2026-03-06T08:59:19Z
2026-03-07,Championship,Blackburn,Portsmouth,0-1,4.84,3.72,1.48,2026-03-06T14:59:16Z
2026-03-07,Championship,Blackburn,Portsmouth,1-0,1.34,4.07,6.25,2026-03-06T14:59:16Z
