date_recommended,date_match,sport,country,sex,market,home,away,outcome,odds,probability,ev,kelly_frac,bet_amount,info,win,pnl,source
2025-09-11,2025-09-12,handball,denmark,male,handicap,HOJ,Ringsted,away,1.9,0.697,0.3242999999999998,NA,495,-2.5,FALSE,-495,gsheets
2025-09-11,2025-09-12,handball,denmark,male,handicap,Mors,Sonderjyske,home,2.35,0.60725,0.4270375,NA,435,-1.5,TRUE,587,gsheets
2025-09-11,2025-09-12,handball,denmark,male,outcome,Fredericia,Skanderborg AGF,home,1.8,0.62875,0.13175000000000003,NA,225,NA,FALSE,-225,gsheets
2025-09-11,2025-09-12,handball,denmark,male,outcome,HOJ,Ringsted,away,3.75,0.45425,0.7034374999999999,NA,345,NA,FALSE,-345,gsheets
2025-09-11,2025-09-12,handball,denmark,male,outcome,Mors,Sonderjyske,home,1.91,0.68525,0.30882750000000003,NA,465,NA,TRUE,423,gsheets
2025-09-11,2025-09-12,handball,denmark,male,totals,Fredericia,Skanderborg AGF,under,1.95,0.60425,0.17828749999999993,NA,255,58.5,FALSE,-255,gsheets
2025-09-11,2025-09-12,handball,denmark,male,totals,HOJ,Ringsted,over,1.87,0.711,0.32957000000000003,NA,510,58.5,TRUE,444,gsheets
2025-09-11,2025-09-13,handball,denmark,male,handicap,Aalborg,GOG,away,1.83,0.64775,0.18538250000000012,NA,300,-5.5,FALSE,-300,gsheets
2025-09-11,2025-09-13,handball,denmark,male,totals,Aalborg,GOG,over,1.87,0.7105,0.3286350000000001,NA,510,63.5,TRUE,444,gsheets
2025-09-14,2025-09-14,handball,denmark,male,totals,Holstebro,Skjern,over,1.95,0.598,0.16609999999999991,NA,240,60.5,FALSE,-240,gsheets
2025-09-16,2025-09-18,handball,denmark,male,outcome,Skanderborg AGF,HOJ,home,1.5,0.81025,0.21537500000000004,NA,870,NA,TRUE,435,gsheets
2025-09-16,2025-09-18,handball,denmark,male,totals,Skanderborg AGF,HOJ,over,1.87,0.5805,0.08553500000000014,NA,195,57.5,TRUE,170,gsheets
2025-09-18,2025-09-19,handball,denmark,male,totals,GOG,Grindsted,over,1.89,0.6025,0.138725,NA,210,60.5,TRUE,187,gsheets
2025-09-18,2025-09-19,handball,denmark,male,totals,Sonderjyske,Holstebro,over,1.75,0.63,0.10250000000000004,NA,180,60.5,FALSE,-180,gsheets
2025-09-20,2025-09-20,handball,denmark,male,handicap,Kolding,Norddjurs,home,1.83,0.69125,0.26498750000000015,NA,435,-5.5,FALSE,-435,gsheets
2025-09-20,2025-09-20,handball,denmark,male,outcome,HC Kobenhavn,Lemvig,home,2.1,0.5805,0.21905000000000008,NA,270,NA,FALSE,-270,gsheets
2025-09-20,2025-09-20,handball,denmark,male,outcome,Kolding,Norddjurs,home,1.17,0.931,0.08926999999999999,NA,705,NA,TRUE,120,gsheets
2025-09-18,2025-09-20,handball,denmark,male,outcome,Ringsted,Ribe-Esbjerg,home,2.6,0.5705,0.48330000000000006,NA,405,NA,FALSE,-405,gsheets
2025-09-21,2025-09-21,handball,denmark,male,outcome,Skjern,Aalborg,home,3.85,0.449,0.7286500000000002,NA,304,NA,FALSE,-304,gsheets
2025-09-27,2025-09-28,handball,denmark,male,totals,Aalborg,Holstebro,over,1.89,0.59875,0.13163749999999996,NA,195,61.5,TRUE,173.55,gsheets
2025-10-01,2025-10-01,handball,denmark,female,handicap,Esbjerg,Skanderborg,away,1.8,0.63125,0.13624999999999998,NA,225,-12.5,FALSE,-225,gsheets
2025-10-01,2025-10-01,handball,denmark,female,handicap,Horsens,Silkeborg-Voel,home,1.62,0.69175,0.12063500000000003,NA,270,1.5,TRUE,167,gsheets
2025-10-01,2025-10-01,handball,denmark,female,outcome,Horsens,Silkeborg-Voel,home,2.38,0.5465,0.3006699999999999,NA,300,NA,TRUE,414,gsheets
2025-10-01,2025-10-01,handball,denmark,female,totals,Esbjerg,Skanderborg,over,1.8,0.69175,0.24515,NA,420,60.5,TRUE,336,gsheets
2025-10-02,2025-10-02,handball,denmark,male,totals,Holstebro,Grindsted,over,1.95,0.58925,0.14903750000000004,NA,210,59.5,FALSE,-210,gsheets
2025-10-03,2025-10-03,handball,denmark,female,handicap,Bjerringbro,HOJ,home,2.05,0.636,0.30379999999999996,NA,390,-1.5,FALSE,-390,gsheets
2025-10-03,2025-10-03,handball,denmark,female,outcome,Bjerringbro,HOJ,home,1.8,0.7045,0.2681,NA,450,NA,FALSE,-450,gsheets
2025-10-03,2025-10-03,handball,denmark,female,totals,Bjerringbro,HOJ,over,1.95,0.6535,0.27432499999999993,NA,390,58.5,TRUE,371,gsheets
2025-10-03,2025-10-04,handball,denmark,male,handicap,Ringsted,Bjerringbro/Silkeborg,home,1.9,0.616,0.17039999999999988,NA,255,2.5,FALSE,-255,gsheets
2025-10-03,2025-10-04,handball,denmark,male,handicap,Skanderborg AGF,Mors,home,1.9,0.612,0.16279999999999994,NA,240,-2.5,FALSE,-240,gsheets
2025-10-03,2025-10-04,handball,denmark,male,handicap,Skjern,Fredericia,home,1.95,0.688,0.3415999999999999,NA,480,-1.5,TRUE,456,gsheets
2025-10-03,2025-10-04,handball,denmark,male,outcome,Ringsted,Bjerringbro/Silkeborg,home,3.6,0.378,0.3608,NA,195,NA,FALSE,-195,gsheets
2025-10-03,2025-10-04,handball,denmark,male,outcome,Skanderborg AGF,Mors,home,1.44,0.73975,0.06523999999999996,NA,195,NA,FALSE,-195,gsheets
2025-10-03,2025-10-04,handball,denmark,male,outcome,Skjern,Fredericia,home,1.67,0.7535,0.2583449999999998,NA,525,NA,TRUE,352,gsheets
2025-10-03,2025-10-04,handball,denmark,male,totals,Skanderborg AGF,Mors,over,1.89,0.6205,0.17274500000000004,NA,270,61.5,FALSE,-270,gsheets
