date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-04-23,Besta Deildin,Valur,FH,3-0,1.03,8.61,15.32,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,Valur,FH,1-0,1.41,4.58,4.45,2026-04-22T09:27:31Z
2026-04-23,Besta Deildin,Valur,FH,0-1,3.6,4.29,1.57,2026-04-22T09:27:31Z
2026-04-23,Besta Deildin,Valur,FH,2-0,1.14,6.38,8.73,2026-04-22T09:27:31Z
2026-04-23,Besta Deildin,Valur,FH,0-2,6.88,5.74,1.2,2026-04-22T09:27:31Z
2026-04-23,Besta Deildin,Valur,FH,3-0,1.03,8.61,15.47,2026-04-22T09:27:31Z
2026-04-23,Besta Deildin,Valur,FH,0-1,3.6,4.28,1.57,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Valur,FH,2-0,1.14,6.38,8.74,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Valur,FH,0-2,6.89,5.74,1.2,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Valur,FH,3-0,1.03,8.6,15.49,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,1-0,1.14,5.98,9.63,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,0-1,2.23,3.84,2.27,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,2-0,1.03,8.24,18.37,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,0-2,3.87,4.44,1.5,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,3-0,1.01,8.83,25.27,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,1-0,1.15,5.91,9.24,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,0-1,2.25,3.85,2.25,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,2-0,1.03,8.21,17.76,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,0-2,3.9,4.47,1.49,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Víkingur Rvk,Stjarnan,3-0,1.01,8.89,24.72,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,1-0,1.88,4.2,2.63,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,0-1,6.23,5.45,1.24,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,2-0,1.36,5.06,4.58,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,0-2,11.97,7.59,1.07,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,3-0,1.13,6.89,8.39,2026-04-20T15:20:37Z
2026-04-23,Besta Deildin,ÍBV,KR,1-0,1.88,4.18,2.64,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,0-1,6.15,5.41,1.25,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,2-0,1.36,5.05,4.6,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,0-2,11.83,7.54,1.07,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,3-0,1.13,6.9,8.44,2026-04-21T09:31:11Z
2026-04-23,Besta Deildin,ÍBV,KR,1-0,1.88,4.21,2.63,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,0-1,6.12,5.43,1.25,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,2-0,1.36,5.06,4.56,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,0-2,11.73,7.55,1.07,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,3-0,1.13,6.9,8.35,2026-04-21T15:21:26Z
2026-04-23,Besta Deildin,ÍBV,KR,1-0,1.94,4.28,2.49,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,0-1,6.2,5.61,1.23,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,2-0,1.4,5.03,4.21,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,0-2,11.66,7.71,1.07,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,3-0,1.15,6.72,7.56,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,ÍBV,KR,1-0,2.16,4.18,2.23,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,0-1,7.35,5.93,1.18,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,2-0,1.5,4.74,3.68,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,0-2,13.71,8.12,1.05,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,ÍBV,KR,3-0,1.19,6.24,6.57,2026-04-23T09:33:14Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,0-1,5.59,4.73,1.32,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,1-0,1.64,4.03,3.41,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,2-0,1.23,5.42,6.67,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,0-2,11.55,6.88,1.09,2026-04-22T21:00:20Z
2026-04-23,Besta Deildin,Þór Ak.,Fram,3-0,1.06,7.74,12.78,2026-04-22T21:00:20Z
